FID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,POP_SOURCE,X,Y,pop_1,year,capital,rank,threshold,dist_km,type
"2029",Warsaw,POL-WRS,Warszawa,PL,Poland,National and provincial capital,"1766212","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"2339031.489","6844536.595","1,861,599","2023","1","7","5",433.60,inland
"2011",Gdansk,POL-GDN,Gdansk,PL,Poland,Provincial capital,"464834","4","250,000 to 499,999",UN_Data_2010_2020,"2073325.109","7239779.893","487,371","2023","0","2","30",16.01,coast
"2129",Chisinau,MDA,Moldova,MD,Moldova,National capital,"0","0",,,"3209340.617","5942073.758","532,513","2014","1","1","40",222.20,inland
"1628",Praia,CPV,Cape Verde,CV,Cape Verde,National capital,"0","0",,,"-2618345.249","1680327.654","137,868","2021","1","2","30",0.00,coast
"1658",Madrid,ESP-MDR,Madrid,SP,Spain,National and provincial capital,"3244730","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"-410877.09","4930414.133","3,340,176","2023","1","2","30",413.10,inland
"1632",Valencia,ESP-VLN,Valenciana,SP,Spain,Provincial capital,"792850","3","500,000 to 999,999",UN_Data_2010_2020,"-40854.42639","4789365.029","804,121","2023","0","1","40",17.17,coast
"297",Willemstad,ANT,Netherlands Antilles,NT,Netherlands Antilles,National and provincial capital,"0","0",,,"-7677767.021","1361507.23","2,280","2021","1","2","30",0.00,coast
"1506",Wellington,NZL-WLL,Wellington,NZ,New Zealand,National and provincial capital,"216300","5","100,000 to 249,999",UN_Data_2010_2020,"19459450.32","-5061856.656","212,000","2022","1","2","30",0.14,coast
"2532",Hamilton,NZL-WAK,Waikato,NZ,New Zealand,Provincial capital,"169300","5","100,000 to 249,999",UN_Data_2010_2020,"19511300.37","-4547829.847","179,900","2022","0","2","30",60.87,inland
"20",Alofi,NIU,Niue,NE,Niue,National and provincial capital,"639","7","Less than 50,000",UN_Data_2010_2020,"-18915037.13","-2156898.276","606","2022","1","7","5",0.00,coast
"407",Port-au-Prince,HTI-OUE,Ouest,HA,Haiti,National and provincial capital,"2874000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"-8053197.793","2099281.241","875,978","2009","1","1","40",13.45,coast
"405",Hinche,HTI-CNT,Centre,HA,Haiti,Provincial capital,"0","0",,,"-8015448.136","2171779.106","30,595","2009","0","2","30",65.52,inland
"1458",Saipan,MNP,Northern Mariana Is.,CQ,Northern Mariana Is.,National and provincial capital,"3983","7","Less than 50,000",UN_Data_2010_2020,"16223146.25","1706492.84","43,385","2020","1","2","30",0.00,coast
"2503",Canberra,AUS-ACT,Australian Capital Territory,AS,Australia,National and provincial capital,"420960","4","250,000 to 499,999",UN_Data_2010_2020,"16591280.37","-4211547.338","490,181","2021","1","2","30",149.70,inland
"1509",Newcastle,AUS-NSW,New South Wales,AS,Australia,Other,"322278","4","250,000 to 499,999",UN_Data_2010_2020,"16896022.83","-3885745.501","348,539","2021","0","2","30",6.96,coast
"704",Sofia,BGR-GSO,Grad Sofiya,BU,Bulgaria,National capital and provincial capital enclave,"1241675","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"2597291.932","5267520.674","1,196,806","2023","1","7","5",301.40,inland
"712",Varna,BGR-VAR,Varna,BU,Bulgaria,Provincial capital,"336505","4","250,000 to 499,999",UN_Data_2010_2020,"3106593.298","5343380.361","314,607","2023","0","2","30",9.11,coast
"1551",Charlotte Amalie,VIR,Virgin Is.,VQ,Virgin Is.,National and provincial capital,"0","0",,,"-7228345.753","2078556.511","8,194","2020","1","1","40",0.00,coast
"484",Nassau,BHS,Bahamas,BF,The Bahamas,National capital,"266100","4","250,000 to 499,999",UN_Data_2010_2020,"-8609449.039","2883976.059","296,522","2022","1","2","30",0.00,coast
"538",Yaounde,CMR-CNT,Centre,CM,Cameroon,National and provincial capital,"3420000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"1281732.324","430576.0691","1,817,524","2005","1","7","5",210.70,inland
"508",Buea,CMR-SOU,Sud-Ouest,CM,Cameroon,Provincial capital,"0","0",,,"1027590.591","462938.7603","90,090","2005","0","1","40",37.23,coast
"1258",Vientiane,LAO-VNG,Viangchan,LA,Laos,National and provincial capital,"1246000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"11430311.52","2037751.858","620,157","2015","1","1","40",354.30,inland
"611",Skopje,MKD,Macedonia,MK,North Macedonia,National capital,"546824","3","500,000 to 999,999",UN_Data_2010_2020,"2385948.32","5158483.43","422,540","2021","1","2","30",214.30,inland
"594",Valletta,MLT,Malta,MT,Malta,National capital,"5827","7","Less than 50,000",UN_Data_2010_2020,"1614578.389","4288656.492","5,157","2021","1","2","30",0.00,coast
"1957",Brussels,BEL-BRS,Bruxelles-Brussel,BE,Belgium,National capital and provincial capital enclave,"1550299","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"486243.2507","6592512.099","196,828","2024","1","2","30",144.70,inland
"1952",Bruges,BEL-WVL,West-Vlaanderen,BE,Belgium,Provincial capital,"117260","5","100,000 to 249,999",UN_Data_2010_2020,"358449.0252","6658524.694","119,869","2024","0","2","30",18.63,coast
"2255",Doha,QAT-ADW,Ad Dawhah,QA,Qatar,National and provincial capital,"956457","3","500,000 to 999,999",UN_Data_2010_2020,"5736553.338","2910712.087","872,048","2020","1","1","40",8.05,coast
"832",Baghdad,IRQ-BGH,Baghdad,IZ,Iraq,National and provincial capital,"7816000","1","5,000,000 and greater",UN_Habitat_2020,"4942362.69","3939721.53","6,719,476","2018","1","1","40",592.80,inland
"2342",Brazzaville,COG-POO,Pool,CF,Congo,National capital,"2074000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"1701534.16","-477470.2863","2,138,236","2023","1","2","30",381.70,inland
"85",Lima,PER-LIM,Lima,PE,Peru,National and provincial capital,"9562280","1","5,000,000 and greater",UN_Data_2010_2020,"-8576610.569","-1355041.496","11,166,200","2022","1","2","30",13.47,coast
"14",Arequipa,PER-ARQ,Arequipa,PE,Peru,Provincial capital,"1080635","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"-7961903.892","-1850859.74","1,125,400","2022","0","7","5",96.09,inland
"1040",Islamabad,PAK-PNJ,Punjab,PK,Pakistan,National capital,"1014825","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"8133062.369","3991020.02","1,108,872","2023","1","7","5",1297.00,inland
"2297",Karachi,PAK-SIN,Sind,PK,Pakistan,Provincial capital,"14910352","1","5,000,000 and greater",UN_Data_2010_2020,"7461523.311","2862607.917","18,868,021","2023","0","2","30",9.39,coast
"159",Jamestown,SHN,St. Helena,SH,St. Helena,National and provincial capital,"0","0",,,"-635077.769","-1795691.581","625","2021","1","7","5",0.00,coast
"1752",Ouagadougou,BFA-KDG,Kadiogo,UV,Burkina Faso,National and provincial capital,"3662000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"-185903.9582","1400385.179","2,415,266","2019","1","2","30",798.80,inland
"1453",Palikir,FSM,Micronesia,FM,Micronesia,National capital,"0","0",,,"17612603.18","777447.7895","6,647","2010","1","1","40",0.00,coast
"2540",Nay Pyi Taw,,Nay Pyi Taw Union Territory,BM,Myanmar,National and provincial capital,"642000","3","500,000 to 999,999",UN_Data_2010_2020,"10709941.58","2241485.642","333,506","2014","1","2","30",273.20,inland
"1182",Moulmein,MMR-MST,Mon State,BM,Myanmar,Provincial capital,"0","0",,,"10869795.28","1861849.024","253,734","2014","0","2","30",25.12,coast
"42",Santiago,CHL-RMT,Region Metropolitana,CI,Chile,National and provincial capital,"6748000","1","5,000,000 and greater",UN_Habitat_2020,"-7864445.457","-3958526.403","6,143,444","2023","1","1","40",118.00,inland
"36",Antofagasta,CHL-ANT,Antofagasta,CI,Chile,Provincial capital,"425725","4","250,000 to 499,999",UN_Data_2010_2020,"-7836780.682","-2709723.266","441,211","2023","0","2","30",0.75,coast
"329",San Salvador,SLV-SSL,San Salvador,ES,El Salvador,National and provincial capital,"1910000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"-9929724.473","1539982.289","316,090","2007","1","2","30",28.50,coast
"325",Santa Ana,SLV-SAN,Santa Ana,ES,El Salvador,Provincial capital,"272554","4","250,000 to 499,999",UN_Data_2010_2020,"-9968993.982","1573757.528","198,251","2007","0","2","30",57.41,inland
"27",Stanley,FLK,Falkland Islands,FK,Falkland Is.,National and provincial capital,"2108","7","Less than 50,000",UN_Data_2010_2020,"-6439721.51","-6746242.657","2,634","2016","1","2","30",0.00,coast
"915",Vaduz,LIE,Liechtenstein,LS,Liechtenstein,National capital,"5668","7","Less than 50,000",UN_Data_2010_2020,"1059873.025","5965446.458","5,747","2021","1","2","30",422.00,inland
"1542",Port of Spain,TTO,Trinidad & Tobago,TD,Trinidad & Tobago,National capital,"37074","7","Less than 50,000",UN_Data_2010_2020,"-6845042.234","1191276.571","37,074","2011","1","2","30",18.02,coast
"687",Athens,GRC-CGE,Central Greece and Evvoia,GR,Greece,National capital,"664046","3","500,000 to 999,999",UN_Data_2010_2020,"2633039.847","4571517.907","3,146,164","2021","1","2","30",23.58,coast
"635",Patras,GRC-PLP,Peloponnisos,GR,Greece,Other,"167446","5","100,000 to 249,999",UN_Data_2010_2020,"2436024.043","4599396.838","196,937","2021","0","2","30",78.31,inland
"2312",Harare,ZWE-MEA,Mashonaland East,ZI,Zimbabwe,National and provincial capital,"1485231","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"3453130.982","-2017659.785","1,491,754","2022","1","7","5",478.10,inland
"1784",Monrovia,LBR-MNT,Montserrado,LI,Liberia,National capital,"0","0",,,"-1201916.841","702842.1308","1,021,762","2008","1","7","5",10.48,inland
"1685",Robertsport,LBR-GCM,Grand Cape Mount,LI,Liberia,Provincial capital,"0","0",,,"-1265335.556","753150.7576","3,515","2008","0","2","30",2.67,coast
"1997",Luxembourg,LUX-LXM,Luxembourg,LU,Luxembourg,National and provincial capital,"119215","5","100,000 to 249,999",UN_Data_2010_2020,"681275.329","6378663.095","134,697","2024","1","2","30",434.00,inland
"450",Bogota,COL-DES,Distrito Especial,CO,Colombia,National capital and provincial capital enclave,"7181469","1","5,000,000 and greater",UN_Data_2010_2020,"-8246604.832","515995.7799","7,876,000","2023","1","1","40",350.20,inland
"453",Cartagena,COL-BLV,Bolivar,CO,Colombia,Provincial capital,"887946","3","500,000 to 999,999",UN_Data_2010_2020,"-8408406.706","1165717.327","931,500","2023","0","1","40",0.00,coast
"1293",Kuala Lumpur,MYS-KLL,Kuala Lumpur,MY,Malaysia,National and provincial capital,"1839451","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"11322082.92","350833.1677","1,588,750","2010","1","7","5",44.13,inland
"1298",Johor Baharu,MYS-JOH,Johor,MY,Malaysia,Provincial capital,"518627","3","500,000 to 999,999",UN_Data_2010_2020,"11550510.52","166998.655","809,900","2010","0","1","40",27.83,coast
"779",T'Bilisi,GEO-TBL,T'bilisi,GG,Georgia,National and provincial capital,"1113800","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"4985234.939","5119399.045","1,154,314","2020","1","7","5",344.70,inland
"769",Bat'umi,GEO-AJR,Ajaria,GG,Georgia,Provincial capital,"155000","5","100,000 to 249,999",UN_Data_2010_2020,"4634600.577","5106210.573","169,095","2020","0","2","30",4.87,coast
"1300",Singapore,SGP,Singapore,SN,Singapore,National capital,"5703569","1","5,000,000 and greater",UN_Data_2010_2020,"11558502.47","141259.9492","4,660","2024","1","2","30",1.46,coast
"750",Beirut,LBN-BYR,Bayrut,LE,Lebanon,National and provincial capital,"2302000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"3951841.52","4013146.304","1,650,000","2017","1","7","5",2.87,coast
"751",Zahle,LBN-ABI,Al Biqa',LE,Lebanon,Provincial capital,"0","0",,,"3998484.827","4007739.794","140,000","2017","0","2","30",46.21,inland
"1602",Reykjavik,ISL-RYK,Reykjavik,IC,Iceland,National and provincial capital,"127417","5","100,000 to 249,999",UN_Data_2010_2020,"-2437340.43","9384128.756","239,733","2024","1","2","30",38.38,inland
"1990",Bern,CHE-BER,Bern,SZ,Switzerland,National and provincial capital,"133883","5","100,000 to 249,999",UN_Data_2010_2020,"828884.6283","5933589.822","136,988","2023","1","2","30",441.50,inland
"886",Addis Ababa,ETH-SHE,Shewa,ET,Ethiopia,National and provincial capital,"3881000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"4308064.337","1009402.086","3,860,000","2022","1","2","30",339.50,inland
"276",Guatemala,GTM-GTM,Guatemala,GT,Guatemala,National and provincial capital,"1650000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"-10077185.52","1645215.773","923,392","2018","1","1","40",81.86,inland
"271",Retalhuleu,GTM-RTL,Retalhuleu,GT,Guatemala,Provincial capital,"0","0",,,"-10205438.59","1635909.307","90,505","2018","0","1","40",37.89,coast
"651",Nicosia,CYP-NIC,Nicosia,CY,Cyprus,National and provincial capital,"0","0",,,"3714620.466","4187143.856","56,479","2021","1","1","40",28.33,coast
"1607",Dublin,IRL-LEN,Leinster,EI,Ireland,National and provincial capital,"544107","3","500,000 to 999,999",UN_Data_2010_2020,"-696564.8724","7046428.871","592,713","2022","1","1","40",19.98,coast
"1610",Cork,IRL-MUN,Munster,EI,Ireland,Provincial capital,"124391","5","100,000 to 249,999",UN_Data_2010_2020,"-945213.3151","6781702.794","131,423","2022","0","2","30",32.46,inland
"529",Bangui,CAF-OMP,Ombella-Mpoko,CT,Central African Republic,National and provincial capital,"0","0",,,"2066351.057","486475.7509","812,407","2021","1","1","40",986.50,inland
"2526",Suva,FJI,Fiji,FJ,Fiji,National capital,"0","0",,,"19864709.92","-2053301.299","185,913","2017","1","2","30",4.49,coast
"1705",Nouakchott,MRT-TRR,Trarza,MR,Mauritania,National capital,"958399","3","500,000 to 999,999",UN_Data_2010_2020,"-1778662.456","2047382.585","1,446,761","2013","1","7","5",18.95,inland
"1698",Nouadhibou,MRT-DND,Dakhlet Nouadhibou,MR,Mauritania,Other,"118167","5","100,000 to 249,999",UN_Data_2010_2020,"-1899860.327","2379964.846","173,525",,"0","2","30",0.00,coast
"996",Copenhagen,DNK-SKB,Staden Kobenhavn,DA,Denmark,National capital and provincial capital enclave,"616098","3","500,000 to 999,999",UN_Data_2010_2020,"1397059.208","7502876.105","1,378,649","2024","1","7","5",7.38,inland
"907",Odense,DNK-FYN,Fyn,DA,Denmark,Provincial capital,"202663","5","100,000 to 249,999",UN_Data_2010_2020,"1156832.53","7439691.359","183,763","2024","0","2","30",0.00,coast
"1563",Kingstown,VCT,St. Vincent & the Grenadines,VC,St. Vincent & the Grenadines,National capital,"0","0",,,"-6816015.903","1477487.713","12,909","2012","1","2","30",0.00,coast
"2225",Mogadishu,SOM-BND,Banaadir,SO,Somalia,National and provincial capital,"2693000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"5047686.834","227270.42","1,650,227","2014","1","7","5",13.11,inland
"2424",Kismaayo,SOM-JHO,Jubbada Hoose,SO,Somalia,Provincial capital,"0","0",,,"4735420.301","-38516.32665","358,000","2014","0","2","30",1.69,coast
"2446",Nairobi,KEN-NAR,Nairobi Area,KE,Kenya,National and provincial capital,"4397073","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"4097002.244","-141387.2139","4,397,073","2019","1","2","30",304.90,inland
"2427",Mombasa,KEN-COA,Coast,KE,Kenya,Provincial capital,"1411000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"4414362.319","-451325.3126","1,208,333","2019","0","7","5",3.93,coast
"292",San Jose,CRI-SJO,San Jose,CS,Costa Rica,National and provincial capital,"347398","4","250,000 to 499,999",UN_Data_2010_2020,"-9359589.231","1111031.828","1,453,500","2020","1","7","5",55.94,inland
"305",Puntarenas,CRI-PNT,Puntarenas,CS,Costa Rica,Provincial capital,"140102","5","100,000 to 249,999",UN_Data_2010_2020,"-9444679.525","1115386.339","87,500","2020","0","1","40",0.00,coast
"2420",Kigali,RWA-KIG,Kigali,RW,Rwanda,National and provincial capital,"859332","3","500,000 to 999,999",UN_Data_2010_2020,"3346152.729","-217115.2676","859,332","2012","1","1","40",181.80,inland
"1611",London,GBR-ENG,England,UK,United Kingdom,National and provincial capital,"8135667","1","5,000,000 and greater",UN_Data_2010_2020,"-19815.05599","6708057.576","8,776,535","2021","1","1","40",127.20,inland
"1620",Liverpool,GBR-ENG,England,UK,United Kingdom,Other,"552267","3","500,000 to 999,999",UN_Data_2010_2020,"-330730.055","7061628.195","506,552","2021","0","1","40",12.82,coast
"1383",P'yongyang,PRK-PSI,P'yongyang-si,KN,North Korea,National and provincial capital,"3049000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"13999205.24","4725827.002","2,521,785","2008","1","2","30",56.41,inland
"1376",Ch'ongjin,PRK-HBU,Hamgyong-bukto,KN,North Korea,Provincial capital,"0","0",,,"14447488.39","5128678.847","614,892","2008","0","1","40",4.07,coast
"1482",Jakarta,IDN-JRA,Jakarta Raya,ID,Indonesia,National and provincial capital,"9607787","1","5,000,000 and greater",UN_Data_2010_2020,"11888922","-687799.1996","9,607,787","2010","1","1","40",26.20,coast
"1469",Bandung,IDN-JBA,Jawa Barat,ID,Indonesia,Provincial capital,"2394873","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"11978756.15","-771313.4557","2,394,873","2010","0","2","30",76.95,inland
"1862",Sao Tome,STP-STO,Sao Tome,TP,Sao Tome & Principe,National and provincial capital,"0","0",,,"748958.0256","37514.43821","66,888","2012","1","1","40",0.00,coast
"510",Malabo,GNQ-BKN,Bioko Norte,EK,Equatorial Guinea,National and provincial capital,"0","0",,,"976557.0582","417032.9254","132,440","2001","1","2","30",0.00,coast
"517",Bata,GNQ-LTR,Litoral,EK,Equatorial Guinea,Provincial capital,"0","0",,,"1092763.59","205941.2067","132,235","2001","0","2","30",31.94,inland
"2492",Victoria,SYC,Seychelles,SE,Seychelles,National capital,"26450","7","Less than 50,000",UN_Data_2010_2020,"6172109.657","-514519.2173","29,664","2022","1","2","30",0.00,coast
"2353",Luanda,AGO-LUA,Luanda,AO,Angola,National and provincial capital,"7555000","1","5,000,000 and greater",UN_Habitat_2020,"1473313.952","-984837.4754","6,759,313","2014","1","1","40",16.95,coast
"2319",Luena,AGO-MOX,Moxico,AO,Angola,Provincial capital,"0","0",,,"2215814.836","-1321931.919","273,675","2014","0","2","30",688.70,inland
"2136",Helsinki,FIN-UUS,Uusimaa,FI,Finland,National and provincial capital,"639227","3","500,000 to 999,999",UN_Data_2010_2020,"2780393.676","8443598.847","674,500","2023","1","1","40",7.98,coast
"2143",Jyvaskyla,FIN-KSU,Keski-Suomi,FI,Finland,Provincial capital,"139519","5","100,000 to 249,999",UN_Data_2010_2020,"2866254.396","8917471.15","147,746","2023","0","2","30",426.50,inland
"1595",St. Peter Port,XGK,Guernsey,GK,Guernsey,National and provincial capital,"18958","7","Less than 50,000",UN_Data_2010_2020,"-282005.8482","6351564.125","19,676","2023","1","2","30",0.00,coast
"17",Apia,WSM,Samoa,WS,Samoa,National capital,"37391","7","Less than 50,000",UN_Data_2010_2020,"-19117952.98","-1555525.22","35,974","2021","1","2","30",0.00,coast
"983",Ljubljana,SVN,Slovenia,SI,Slovenia,National capital,"283055","4","250,000 to 499,999",UN_Data_2010_2020,"1629673.639","5791301.094","284,293","2022","1","2","30",109.10,inland
"1560",Roseau,DMA,Dominica,DO,Dominica,National capital,"0","0",,,"-6833733.075","1723683.199","14,725","2011","1","2","30",0.00,coast
"677",Cairo,EGY-AQH,Al Qahirah,EG,Egypt,National and provincial capital,"9539673","1","5,000,000 and greater",UN_Data_2010_2020,"3478823.067","3513568.383","9,801,536","2023","1","1","40",125.80,inland
"665",Alexandria,EGY-AIS,Al Iskandariyah,EG,Egypt,Other,"5163750","1","5,000,000 and greater",UN_Data_2010_2020,"3329020.663","3659335.15","5,362,517","2023","0","2","30",13.81,coast
