FID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,POP_SOURCE,X,Y,pop_1,year,capital,rank,threshold,dist_km,type
"1368",Beijing,CHN-BJN,Beijing,CH,China,National and provincial capital,"20781000","1","5,000,000 and greater",UN_Habitat_2020,"12956256.95","4852319.277","18,960,744","2020","1","2","30",205.90,inland
"1405",Hong Kong,CHN-HKG,Hong Kong,CH,China,Other,"7803000","1","5,000,000 and greater",UN_Habitat_2020,"12710125.2","2544454.272","7,413,070","2021","0","1","40",3.06,coast
"1410",Bandar Seri Begawan,BRN,Brunei,BX,Brunei,National capital,"0","0",,,"12798067.84","549818.6278","266,682","2021","1","2","30",19.09,coast
"2496",Antananarivo,MDG-ANN,Antananarivo,MA,Madagascar,National and provincial capital,"1275207","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"5290792.912","-2144107.505","1,274,225","2018","1","7","5",167.60,inland
"2495",Toamasina,MDG-TMS,Toamasina,MA,Madagascar,Provincial capital,"326286","4","250,000 to 499,999",UN_Data_2010_2020,"5497323.524","-2057069.511","325,857","2018","0","2","30",0.00,coast
"2171",Moscow,RUS-MSC,Moskovskaya oblast',RS,Russia,National and provincial capital,"11918057","1","5,000,000 and greater",UN_Data_2010_2020,"4196744.952","7508807.065","13,010,112","2021","1","2","30",1097.00,inland
"1375",Vladivostok,RUS-PRM,Primorskiy kray,RS,Russia,Provincial capital,"624281","3","500,000 to 999,999",UN_Data_2010_2020,"14689768.92","5331779.855","603,519","2021","0","1","40",2.19,coast
"572",Tunis,TUN-TUN,Tunis,TS,Tunisia,National and provincial capital,"1056247","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"1131674.431","4413907.667","599,368","2023","1","1","40",2.25,coast
"562",Kebili,TUN-QBL,Quibili,TS,Tunisia,Provincial capital,"0","0",,,"998647.4152","3987251.761","26,310","2014","0","2","30",149.90,inland
"934",Oslo,NOR-OSL,Oslo,NO,Norway,National and provincial capital,"681067","3","500,000 to 999,999",UN_Data_2010_2020,"1192454.202","8385947.64","1,082,575","2023","1","7","5",110.60,inland
"928",Arendal,NOR-AAG,Aust-Agder,NO,Norway,Provincial capital,"0","0",,,"975826.6987","8065588.554","44,856","2023","0","2","30",0.00,coast
"2525",Port Vila,VUT,Vanuatu,NH,Vanuatu,National capital,"20094","7","Less than 50,000",UN_Data_2010_2020,"18737407.71","-2007138.203","49,528","2020","1","2","30",0.00,coast
"2082",Minsk,BLR-MNS,Minsk,BO,Belarus,National and provincial capital,"1982444","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"3069697.223","7151228.485","1,995,471","2023","1","7","5",724.60,inland
"1937",Paris,FRA-IDF,Ile-de-France,FR,France,National and provincial capital,"2206488","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"262152.1853","6250849.855","2,133,111","2021","1","2","30",245.10,inland
"1919",Marseille,FRA-PAC,Provence-Alpes-Cote d'Azur,FR,France,Provincial capital,"861635","3","500,000 to 999,999",UN_Data_2010_2020,"599455.1562","5355452.243","873,076","2021","0","1","40",0.00,coast
"2124",Kyiv,UKR-KYV,Kyiv,UP,Ukraine,National and provincial capital,"2893215","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"3395479.063","6524253.906","2,952,301","2022","1","2","30",643.30,inland
"2130",Odesa,UKR-ODS,Odessa,UP,Ukraine,Provincial capital,"993831","3","500,000 to 999,999",UN_Data_2010_2020,"3421219.246","5855450.94","1,010,537","2022","0","7","5",0.00,coast
"649",Ankara,TUR-ANK,Ankara,TU,Turkey,National and provincial capital,"5229000","1","5,000,000 and greater",UN_Habitat_2020,"3657178.939","4855630.684","5,186,002","2022","1","2","30",248.70,inland
"646",Zonguldak,TUR-ZNG,Zonguldak,TU,Turkey,Provincial capital,"0","0",,,"3539848.305","5079835.716","101,749","2022","0","2","30",0.00,coast
"781",Yerevan,ARM,Armenia,AM,Armenia,National capital,"1079732","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"4957354.742","4896218.999","1,086,677","2022","1","7","5",384.90,inland
"1737",Bamako,MLI-BAM,Bamako,ML,Mali,National and provincial capital,"2998000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"-889051.1837","1420110.761","4,227,569","2022","1","2","30",723.50,inland
"1647",Lisbon,PRT-LIS,Lisboa,PO,Portugal,National and provincial capital,"506654","3","500,000 to 999,999",UN_Data_2010_2020,"-1016346.461","4683069.433","545,796","2021","1","1","40",39.11,coast
"1636",Braganca,PRT-BRG,Braganca,PO,Portugal,Provincial capital,"0","0",,,"-751963.5592","5132261.565","22,851","2021","0","2","30",244.80,inland
"1546",Georgetown,GUY-DMM,Demerara-Mahaica,GY,Guyana,National capital,"24849","7","Less than 50,000",UN_Data_2010_2020,"-6475454.411","755392.5139","118,369","2012","1","2","30",5.02,coast
"1578",Saint-Pierre,SPM,St. Pierre & Miquelon,SB,St. Pierre & Miquelon,National and provincial capital,"0","0",,,"-6255487.651","5907212.85","5,282","2021","1","2","30",0.00,coast
"1879",Porto Novo,BEN-OUE,Oueme,BN,Benin,National and provincial capital,"264320","4","250,000 to 499,999",UN_Data_2010_2020,"293048.5937","736462.5962","264,320","2013","1","2","30",38.88,inland
"1881",Cotonou,BEN-ATL,Atlantique,BN,Benin,Provincial capital,"679012","3","500,000 to 999,999",UN_Data_2010_2020,"271619.4784","709114.027","679,012","2013","0","1","40",14.81,coast
"596",San Marino,SMR,San Marino,SM,San Marino,National capital,"4127","7","Less than 50,000",UN_Data_2010_2020,"1387782.849","5452554.331","33,908","2023","1","2","30",29.85,coast
"2409",Bujumbura,BDI-BJM,Bujumbura,BY,Burundi,National and provincial capital,"0","0",,,"3267895.23","-375586.5342","497,166","2008","1","2","30",12.50,coast
"2398",Cankuzo,BDI-CNK,Cankuzo,BY,Burundi,Provincial capital,"0","0",,,"3397103.107","-352695.4827","3,624","2008","0","2","30",139.90,inland
"1267",Hanoi,VNM-HNO,Ha Noi,VM,Vietnam,National capital and provincial capital enclave,"4201000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"11779828.78","2395456.493","3,605,364","2019","1","2","30",102.00,inland
"1274",Haiphong,VNM-HPH,Hai Phong,VM,Vietnam,Other,"1280000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"11875539.95","2375353.959","841,520","2019","0","1","40",18.36,coast
"1882",Lome,TGO-GLF,Golfe,TO,Togo,National and provincial capital,"839566","3","500,000 to 999,999",UN_Data_2010_2020,"133755.4221","680652.9743","1,477,658","2010","1","7","5",14.76,inland
"2457",Maputo,MOZ-MAP,Maputo,MZ,Mozambique,National and provincial capital,"1507000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"3626120.802","-2994375.618","1,080,277","2017","1","7","5",5.30,inland
"2310",Pemba,MOZ-CDL,Cabo Delgado,MZ,Mozambique,Provincial capital,"0","0",,,"4508439.422","-1455923.51","200,529","2017","0","2","30",7.68,coast
"1713",Banjul,GMB-BNJ,Banjul,GA,The Gambia,National capital and provincial capital enclave,"0","0",,,"-1847546.385","1512788.226","31,054","2013","1","2","30",16.58,coast
"1712",Kerewan,GMB-NBA,North Bank,GA,The Gambia,Provincial capital,"0","0",,,"-1791686.828","1516227.22","4,570","2013","0","2","30",69.84,inland
"1550",San Juan,PRI-SJN,San Juan,RQ,Puerto Rico,National and provincial capital,"320967","4","250,000 to 499,999",UN_Data_2010_2020,"-7354767.388","2084303.743","322,854","2020","1","2","30",9.12,coast
"2309",Moroni,COM,Comoros,CN,Comoros,National capital,"0","0",,,"4813789.011","-1311585.316","74,749","2017","1","1","40",0.00,coast
"1549",Road Town,VGB,British Virgin Is.,VI,British Virgin Is.,National and provincial capital,"0","0",,,"-7193654.812","2085485.273","500,070","2021","1","2","30",0.00,coast
"2042",Budapest,HUN-BDP,Budapest,HU,Hungary,National capital and provincial capital enclave,"1751010","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"2125534.84","6026543.413","1,685,342","2022","1","7","5",610.10,inland
"1616",Douglas,XIM,Isle of Man,IM,Isle of Man,National and provincial capital,"0","0",,,"-498620.3275","7198982.485","26,677","2021","1","2","30",0.00,coast
"2257",Abu Dhabi,ARE-AZA,Abu Zaby,AE,United Arab Emirates,National and provincial capital,"1539000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"6052551.857","2811519.478","1,202,756","2015","1","7","5",0.37,coast
"1694",Freetown,SLE-WAR,Western Area,SL,Sierra Leone,National and provincial capital,"1055964","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"-1473758.705","948130.0642","609,174","2021","1","1","40",0.00,coast
"1776",Kenema,SLE-EST,Eastern,SL,Sierra Leone,Provincial capital,"200443","5","100,000 to 249,999",UN_Data_2010_2020,"-1245108.686","879638.7356","255,110","2021","0","2","30",125.50,inland
"1390",Seoul,KOR-SJK,Seoul-jikhalsi,KS,South Korea,National capital and provincial capital enclave,"9704546","1","5,000,000 and greater",UN_Data_2010_2020,"14130366.76","4514976.42","9,586,195","2020","1","1","40",55.74,inland
"1379",Pusan,KOR-PSN,Pusan-jikhalsi,KS,South Korea,Provincial capital enclave,"3400027","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"14366335.48","4185372.957","3,349,016","2020","0","2","30",8.56,coast
"296",Oranjestad,ABW,Aruba,AA,Aruba,National and provincial capital,"28295","7","Less than 50,000",UN_Data_2010_2020,"-7795258.954","1405516.228","81,915","2020","1","1","40",0.00,coast
"631",Tirana,ALB-TIR,Tirane,AL,Albania,National and provincial capital,"418495","4","250,000 to 499,999",UN_Data_2010_2020,"2207688.627","5061435.007","418,495","2011","1","2","30",48.54,inland
"605",Durres,ALB-DRR,Durres,AL,Albania,Provincial capital,"113249","5","100,000 to 249,999",UN_Data_2010_2020,"2165609.868","5060694.538","113,249","2011","0","2","30",6.72,coast
"1408",Manila,PHL-NCR,National Capital Region,RP,Philippines,National and provincial capital,"1780148","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"13465979.1","1645065.641","1,846,513","2020","1","7","5",6.47,inland
"1141",Davao,PHL-SMN,Southern Mindanao,RP,Philippines,Other,"1632991","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"13983251.38","790164.8566","1,436,085","2020","0","7","5",1.70,coast
"16",Mata-Utu,WLF,Wallis & Futuna,WF,Wallis & Futuna,National and provincial capital,"0","0",,,"-19609102.37","-1490973.371","11,151","2023","1","2","30",0.00,coast
"429",Santo Domingo,DOM-SDM,Santo Domingo,DR,Dominican Republic,National and provincial capital,"965040","3","500,000 to 999,999",UN_Data_2010_2020,"-7781121.496","2094864.988","2,752,784","2022","1","2","30",7.95,coast
"413",Santiago,DOM-SNT,Santiago,DR,Dominican Republic,Provincial capital,"591985","3","500,000 to 999,999",UN_Data_2010_2020,"-7871066.865","2208697.019","612,595","2022","0","1","40",40.89,inland
"826",Jerusalem,ISR-YRS,Yerushalayim,IS,Israel,National and provincial capital,"910370","3","500,000 to 999,999",UN_Data_2010_2020,"3921253.262","3733647.518","966,210","2021","1","1","40",64.41,inland
"812",Tel Aviv-Yafo,ISR-TAV,Tel Aviv,IS,Israel,Provincial capital,"447730","4","250,000 to 499,999",UN_Data_2010_2020,"3870578.396","3769219.551","467,875","2021","0","2","30",3.32,coast
"1094",Kathmandu,NPL-BGM,Bagmati,NP,Nepal,National and provincial capital,"1467000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"9496994.534","3212713.992","862,400","2021","1","1","40",783.80,inland
"1552",The Valley,AIA,Anguilla,AV,Anguilla,National and provincial capital,"2812","7","Less than 50,000",UN_Data_2010_2020,"-7020548.77","2062924.574","1,298","2011","1","7","5",0.00,coast
"1078",Tashkent,UZB-TSK,Tashkent,UZ,Uzbekistan,National and provincial capital,"2509969","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"7719992.138","5048981.24","2,956,384","2023","1","2","30",778.00,inland
"2069",Longyearbyen,SJM,Svalbard and Jan Mayen,SV,Svalbard,National and provincial capital,"0","0",,,"1743263.26","14476657.52","2,465","2023","1","2","30",257.10,inland
"1690",Conakry,GIN-CNK,Conakry,GV,Guinea,National and provincial capital,"1879695","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"-1521959.924","1068057.983","1,660,973","2014","1","7","5",5.40,inland
"1688",Boffa,GIN-BOF,Boffa,GV,Guinea,Provincial capital,"0","0",,,"-1563259.231","1139808.11","8,631","2014","0","1","40",31.62,coast
"288",Hamilton,BMU,Bermuda,BD,Bermuda,National and provincial capital,"854","7","Less than 50,000",UN_Data_2010_2020,"-7211183.623","3801310.39","854","2016","1","7","5",0.00,coast
"15",La Paz,BOL-LPA,La Paz,BL,Bolivia,National and provincial capital,"2143000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"-7586005.249","-1862583.584","3,022,566","2024","1","2","30",68.82,inland
"1487",Dili,TLS,Timor Leste,TT,Timor Leste,National capital,"222323","5","100,000 to 249,999",UN_Data_2010_2020,"13979612.57","-957697.5731","267,623","2022","1","2","30",4.71,coast
"2039",Bratislava,SVK-BRS,Bratislava,LO,Slovakia,National capital and provincial capital enclave,"431214","4","250,000 to 499,999",UN_Data_2010_2020,"1906902.592","6131845.861","478,040","2023","1","2","30",547.70,inland
"2138",Riga,LVA,Latvia,LG,Latvia,National capital,"632614","3","500,000 to 999,999",UN_Data_2010_2020,"2677233.566","7735631.17","620,974","2021","1","1","40",29.36,coast
"2382",Lusaka,ZMB-LUS,Lusaka,ZA,Zambia,National and provincial capital,"1747152","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"3135870.089","-1738805.993","2,212,301","2022","1","2","30",724.10,inland
"2",Brasilia,BRA-DFD,Distrito Federal,BR,Brazil,National and provincial capital,"2481272","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"-5331952.879","-1780660.511","2817381","2022","1","2","30",964.40,inland
"165",Fortaleza,BRA-CEA,Ceara,BR,Brazil,Provincial capital,"2452185","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"-4295708.116","-421427.6123","3,424,978","2022","0","2","30",12.84,coast
"1559",Basse-Terre,GLP,Guadeloupe,GP,Guadeloupe,National and provincial capital,"0","0",,,"-6871113.047","1805292.075","9,779","2021","1","1","40",0.00,coast
"2216",Tehran,IRN-TER,Tehran,IR,Iran,National and provincial capital,"8693706","1","5,000,000 and greater",UN_Data_2010_2020,"5727164.754","4269568.654","8,693,706","2016","1","1","40",140.00,inland
"2268",Rasht,IRN-GIL,Gilan,IR,Iran,Provincial capital,"679995","3","500,000 to 999,999",UN_Data_2010_2020,"5520667.21","4477368.538","679,995","2016","0","1","40",30.06,coast
"2241",Riyadh,SAU-ARI,Ar Riyad,SA,Saudi Arabia,National and provincial capital,"5188286","1","5,000,000 and greater",UN_Data_2010_2020,"5206412.954","2832815.975","6,924,566","2022","1","1","40",403.60,inland
"861",Jeddah,SAU-MKK,Makkah,SA,Saudi Arabia,Other,"3430697","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"4360718.894","2456744.936","3,712,917","2022","0","2","30",8.28,coast
"1475",West Island,CCK,Cocos Is.,CK,Cocos Is.,National and provincial capital,"0","0",,,"10778629.63","-1363641.934","147","2021","1","7","5",0.00,coast
"286",George Town,CYM,Cayman Is.,CJ,Cayman Is.,National and provincial capital,"28089","7","Less than 50,000",UN_Data_2010_2020,"-9059550.596","2190287.624","34,921","2021","1","2","30",0.00,coast
"308",Panama,PAN-PAN,Panama,PM,Panama,National and provincial capital,"481993","4","250,000 to 499,999",UN_Data_2010_2020,"-8851800.698","1006345.652","1,132,969","2023","1","7","5",7.19,inland
"307",Colon,PAN-COL,Colon,PM,Panama,Provincial capital,"41019","7","Less than 50,000",UN_Data_2010_2020,"-8893909.522","1046064.739","159,157","2023","0","2","30",0.00,coast
"708",Bucharest,ROM-BUC,Bucuresti,RO,Romania,National and provincial capital,"1829897","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"2907995.543","5532303.438","1,716,961","2021","1","7","5",276.20,inland
"714",Constanta,ROM-CNS,Constanta,RO,Romania,Provincial capital,"0","0",,,"3187188.161","5486047.819","263,688","2021","0","2","30",2.76,coast
"1555",Basseterre,KNA,St. Kitts & Nevis,SC,St. Kitts & Nevis,National capital,"0","0",,,"-6983294.027","1954958.331","11,400","2011","1","2","30",0.00,coast
"1584",Nuuk,GRL-VST,Vestgronland,GL,Greenland,National and provincial capital,"18128","7","Less than 50,000",UN_Data_2010_2020,"-5741859.189","9418965.687","19,872","2024","1","2","30",58.41,inland
"1574",Thule,GRL-NRD,Nordgronland,GL,Greenland,Provincial capital,"0","0",,,"-7719450.048","14097583.4","590","2024","0","7","5",0.00,coast
"2458",Mbabane,SWZ-HHH,Hhohho,WZ,Eswatini,National capital,"0","0",,,"3472199.67","-3036704.874","60,691","2017","1","1","40",164.30,inland
"1011",Astana,KAZ-TSL,Tselinograd,KZ,Kazakhstan,National and provincial capital,"1107270","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"7951774.024","6654794.495","1,354,507","2023","1","7","5",838.90,inland
"22",Avarua,COK,Cook Is.,CW,Cook Is.,National and provincial capital,"0","0",,,"-17785147.09","-2419719.439","5,113","2021","1","2","30",0.00,coast
"2497",Port Louis,MUS,Mauritius,MP,Mauritius,National capital,"146737","5","100,000 to 249,999",UN_Data_2010_2020,"6400425.031","-2292588.201","140,403","2022","1","2","30",0.00,coast
"1848",Accra,GHA-GAC,Greater Accra,GH,Ghana,National and provincial capital,"1594419","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"-22366.82844","619749.2251","2,070,463","2010","1","2","30",10.52,coast
"1846",Kumasi,GHA-ASH,Ashanti,GH,Ghana,Provincial capital,"1730249","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"-180559.9567","746089.1412","2,035,064","2010","0","2","30",193.10,inland
"865",Sanaa,YEM-SAN,San'a',YM,Yemen,National and provincial capital,"3820000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"4921379.394","1730890.68","1,707,531","2004","1","7","5",156.70,inland
"2214",Aden,YEM-ADN,Aden,YM,Yemen,Other,"1247000","2","1,000,000 to 4,999,999",UN_Habitat_2020,"5013996.773","1433039.158","588,938","2004","0","1","40",0.00,coast
"1460",Tokyo,JPN-KNT,Kanto,JA,Japan,National and provincial capital,"9272740","1","5,000,000 and greater",UN_Data_2010_2020,"15563467.4","4257090.154","9,733,276","2020","1","1","40",80.75,inland
"1399",Kita Kyushu,JPN-KYS,Kyushu,JA,Japan,Other,"961286","3","500,000 to 999,999",UN_Data_2010_2020,"14560305.58","3986163.302","939,029","2020","0","1","40",34.39,coast
"1513",Washington D.C.,USA-DOC,District of Columbia,US,United States,National and provincial capital,"705749","3","500,000 to 999,999",US_Census_2019,"-8566461.581","4706057.115","678,972","2023","1","1","40",51.34,inland
"1529",Boston,USA-MSS,Massachusetts,US,United States,Provincial capital,"692600","3","500,000 to 999,999",US_Census_2019,"-7915149.374","5217318.758","653,833","2023","0","1","40",31.03,coast
"1103",Thimphu,BTN-THM,Thimphu,BT,Bhutan,National and provincial capital,"114551","5","100,000 to 249,999",UN_Data_2010_2020,"9981684.83","3178928.347","114,551","2017","1","2","30",577.80,inland
"2466",Gaborone,BWA-SEA,South-East,BC,Botswana,National capital,"231592","5","100,000 to 249,999",UN_Data_2010_2020,"2888829.664","-2831582.515","246,325",,"1","2","30",749.40,inland
"984",Zagreb,HRV,Croatia,HR,Croatia,National capital,"790017","3","500,000 to 999,999",UN_Data_2010_2020,"1777104.617","5749475.079","663,592","2021","1","1","40",165.60,inland
"978",Rijeka,HRV,Croatia,HR,Croatia,Other,"128624","5","100,000 to 249,999",UN_Data_2010_2020,"1606707.65","5674145.78","107,964","2021","0","2","30",21.24,coast
"852",Khartoum,SDN-AKH,Al Khartum,SU,Sudan,National and provincial capital,"6028000","1","5,000,000 and greater",UN_Habitat_2020,"3621222.639","1752668.527","1,410,858","2008","1","7","5",641.50,inland
"1532",Caracas,VEN-DFD,Distrito Federal,VE,Venezuela,National and provincial capital,"2082130","2","1,000,000 to 4,999,999",UN_Data_2010_2020,"-7447082.193","1175004.613","2,087,700","2019","1","2","30",9.93,coast
"469",Valencia,VEN-CRB,Carabobo,VE,Venezuela,Provincial capital,"888109","3","500,000 to 999,999",UN_Data_2010_2020,"-7570059.403","1139016.186","1,585,500","2019","0","7","5",42.41,inland
